title,description,salary,type,company,category,country,applyLink,location,status
10x Software Engineer,Join Lucidya | لوسيديا as a 10x Software Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Lucidya | لوسيديا,consulting,Egypt,https://eg.linkedin.com/jobs/view/10x-software-engineer-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4402255364,"Cairo, Cairo, Egypt",active
Salesforce Developer (m/w/d),Join sonnen Egypt as a Salesforce Developer (m/w/d). This role requires relevant experience and skills in the field.,Competitive,full-time,sonnen Egypt,lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-developer-m-w-d-at-sonnen-egypt-4404750170,"Cairo, Cairo, Egypt",active
RPA Developer,Join Ontrac Solutions as a RPA Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Ontrac Solutions,consulting,Egypt,https://eg.linkedin.com/jobs/view/rpa-developer-at-ontrac-solutions-4374031949,"Cairo, Cairo, Egypt",active
Senior Fullstack Engineer,Join SAQAYA as a Senior Fullstack Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,SAQAYA,web-development,Egypt,https://eg.linkedin.com/jobs/view/senior-fullstack-engineer-at-saqaya-4432580510,Egypt,active
"Software Engineer II - QuantumBlack, AI by McKinsey","Join QuantumBlack, AI by McKinsey as a Software Engineer II - QuantumBlack, AI by McKinsey. This role requires relevant experience and skills in the field.",Competitive,full-time,"QuantumBlack, AI by McKinsey",consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-ii-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4437424650,"Cairo, Cairo, Egypt",active
Software Engineer - Full Stack,Join Sumerge as a Software Engineer - Full Stack. This role requires relevant experience and skills in the field.,Competitive,full-time,Sumerge,web-development,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-full-stack-at-sumerge-4413525212,"Cairo, Cairo, Egypt",active
Software Engineer ll - Backend,Join talabat as a Software Engineer ll - Backend. This role requires relevant experience and skills in the field.,Competitive,full-time,talabat,web-development,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-ll-backend-at-talabat-4425830101,"Cairo, Cairo, Egypt",active
Back End Developer,Join Fekra Technologies as a Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Fekra Technologies,consulting,Egypt,https://eg.linkedin.com/jobs/view/back-end-developer-at-fekra-technologies-4435513530,Egypt,active
Fullstack Developer - AI Hub (Cairo or Amman),Join EY as a Fullstack Developer - AI Hub (Cairo or Amman). This role requires relevant experience and skills in the field.,Competitive,full-time,EY,web-development,Egypt,https://eg.linkedin.com/jobs/view/fullstack-developer-ai-hub-cairo-or-amman-at-ey-4388063421,"Cairo, Cairo, Egypt",active
Backend Engineer / C++,Join blnk as a Backend Engineer / C++. This role requires relevant experience and skills in the field.,Competitive,full-time,blnk,web-development,Egypt,https://eg.linkedin.com/jobs/view/backend-engineer-c%2B%2B-at-blnk-4352549798,"Giza, Al Jizah, Egypt",active
Backend Python Developer (APIs & Integrations),Join Segadty as a Backend Python Developer (APIs & Integrations). This role requires relevant experience and skills in the field.,Competitive,full-time,Segadty,web-development,Egypt,https://eg.linkedin.com/jobs/view/backend-python-developer-apis-integrations-at-segadty-4402263202,"Cairo, Cairo, Egypt",active
Salesforce Software Engineer,Join Siemens EDA (Siemens Digital Industries Software) as a Salesforce Software Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Siemens EDA (Siemens Digital Industries Software),lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-software-engineer-at-siemens-eda-siemens-digital-industries-software-4413804414,"Cairo, Cairo, Egypt",active
Senior Backend Developer,Join Tether.io as a Senior Backend Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Tether.io,web-development,Egypt,https://eg.linkedin.com/jobs/view/senior-backend-developer-at-tether-io-4384862949,Egypt,active
Python Developer,Join Fekra Technologies as a Python Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Fekra Technologies,consulting,Egypt,https://eg.linkedin.com/jobs/view/python-developer-at-fekra-technologies-4437143603,Egypt,active
Mid-level Software engineer,Join geidea as a Mid-level Software engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,geidea,consulting,Egypt,https://eg.linkedin.com/jobs/view/mid-level-software-engineer-at-geidea-4433093310,"Cairo, Egypt",active
AI Engineer,Join NoGood as a AI Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,NoGood,consulting,Egypt,https://eg.linkedin.com/jobs/view/ai-engineer-at-nogood-4411209120,"Cairo, Cairo, Egypt",active
"Deloitte Innovation Hub I Full Stack Tech Lead, Cairo, Egypt","Join Deloitte as a Deloitte Innovation Hub I Full Stack Tech Lead, Cairo, Egypt. This role requires relevant experience and skills in the field.",Competitive,full-time,Deloitte,web-development,Egypt,https://eg.linkedin.com/jobs/view/deloitte-innovation-hub-i-full-stack-tech-lead-cairo-egypt-at-deloitte-4150519315,"Cairo, Cairo, Egypt",active
Senior Software Development Engineer,Join Sahl as a Senior Software Development Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Sahl,consulting,Egypt,https://eg.linkedin.com/jobs/view/senior-software-development-engineer-at-sahl-4423507225,"6th of October, Al Jizah, Egypt",active
Senior Back End Developer,Join DNEXT Intelligence SA as a Senior Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,DNEXT Intelligence SA,consulting,Egypt,https://eg.linkedin.com/jobs/view/senior-back-end-developer-at-dnext-intelligence-sa-4437154104,Egypt,active
Salesforce Developer (Hybrid),Join IQVIA as a Salesforce Developer (Hybrid). This role requires relevant experience and skills in the field.,Competitive,hybrid,IQVIA,lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-developer-hybrid-at-iqvia-4412569440,"New Heliopolis, Cairo, Egypt",active
Solutions Developer,Join MedNet Egypt L.L.C as a Solutions Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,MedNet Egypt L.L.C,consulting,Egypt,https://eg.linkedin.com/jobs/view/solutions-developer-at-mednet-egypt-l-l-c-4435565823,"Cairo, Egypt",active
Junior Mobile Developer,Join blnk as a Junior Mobile Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,blnk,android-development,Egypt,https://eg.linkedin.com/jobs/view/junior-mobile-developer-at-blnk-4354048765,"Giza, Al Jizah, Egypt",active
Mobile Developer - React Native,Join invygo as a Mobile Developer - React Native. This role requires relevant experience and skills in the field.,Competitive,full-time,invygo,android-development,Egypt,https://eg.linkedin.com/jobs/view/mobile-developer-react-native-at-invygo-4426787986,"Cairo, Cairo, Egypt",active
Odoo Developer,Join JOIN Solutions as a Odoo Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,JOIN Solutions,consulting,Egypt,https://eg.linkedin.com/jobs/view/odoo-developer-at-join-solutions-4425812592,"Cairo, Egypt",active
Software Engineer (Full-stack),Join kapa.ai as a Software Engineer (Full-stack). This role requires relevant experience and skills in the field.,Competitive,full-time,kapa.ai,consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-full-stack-at-kapa-ai-4231624252,Egypt,active
Software Engineer (DevOps/SRE),Join Bayzat as a Software Engineer (DevOps/SRE). This role requires relevant experience and skills in the field.,Competitive,full-time,Bayzat,computer-networking,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-devops-sre-at-bayzat-4402536657,Egypt,active
"Staff Back-End Engineer ""Node j.s""","Join Yassir as a Staff Back-End Engineer ""Node j.s"". This role requires relevant experience and skills in the field.",Competitive,full-time,Yassir,consulting,Egypt,https://eg.linkedin.com/jobs/view/staff-back-end-engineer-node-j-s-at-yassir-4387460022,"Alexandria, Alexandria, Egypt",active
iOS Developer,Join Systems Limited as a iOS Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Systems Limited,ios-development,Egypt,https://eg.linkedin.com/jobs/view/ios-developer-at-systems-limited-4436987632,"6th of October, Al Jizah, Egypt",active
SAP BTP Application Developer,Join Accenture as a SAP BTP Application Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Accenture,consulting,Egypt,https://eg.linkedin.com/jobs/view/sap-btp-application-developer-at-accenture-4321503473,"Cairo, Cairo, Egypt",active
Full Stack Data Engineer,"Join Aspire, Jordan as a Full Stack Data Engineer. This role requires relevant experience and skills in the field.",Competitive,full-time,"Aspire, Jordan",web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-data-engineer-at-aspire-jordan-4431044171,Egypt,active
ABAP Developer,Join Coca-Cola HBC as a ABAP Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Coca-Cola HBC,consulting,Egypt,https://eg.linkedin.com/jobs/view/abap-developer-at-coca-cola-hbc-4432280801,"Cairo, Egypt",active
Full-Stack Developer,Join SeekCars as a Full-Stack Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,SeekCars,consulting,Egypt,https://eg.linkedin.com/jobs/view/full-stack-developer-at-seekcars-4435328709,Egypt,active
Zoho Developer,Join Aathar Holding Company as a Zoho Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Aathar Holding Company,consulting,Egypt,https://eg.linkedin.com/jobs/view/zoho-developer-at-aathar-holding-company-4434682691,"Alexandria, Alexandria, Egypt",active
Mobile Developer,Join Everest Minds as a Mobile Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Everest Minds,android-development,Egypt,https://eg.linkedin.com/jobs/view/mobile-developer-at-everest-minds-3918761746,"Cairo, Cairo, Egypt",active
Full Stack Developer,Join Easygenerator as a Full Stack Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Easygenerator,web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-developer-at-easygenerator-4416651413,"Alexandria, Alexandria, Egypt",active
Developer Information Technology,Join CTI Clinical Trial and Consulting Services as a Developer Information Technology. This role requires relevant experience and skills in the field.,Competitive,full-time,CTI Clinical Trial and Consulting Services,consulting,Egypt,https://eg.linkedin.com/jobs/view/developer-information-technology-at-cti-clinical-trial-and-consulting-services-4426392853,"Cairo, Cairo, Egypt",active
Back End Developer,Join BIRD NEST as a Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,BIRD NEST,consulting,Egypt,https://eg.linkedin.com/jobs/view/back-end-developer-at-bird-nest-4433943599,"Cairo, Egypt",active
"Full Stack Engineer, GISACC","Join Valeo as a Full Stack Engineer, GISACC. This role requires relevant experience and skills in the field.",Competitive,full-time,Valeo,web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-engineer-gisacc-at-valeo-4437434515,"Cairo, Egypt",active
Azure Data Developer,Join Coca-Cola HBC as a Azure Data Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Coca-Cola HBC,consulting,Egypt,https://eg.linkedin.com/jobs/view/azure-data-developer-at-coca-cola-hbc-4377856880,"Cairo, Egypt",active
Software Development Engineer,Join Siemens EDA (Siemens Digital Industries Software) as a Software Development Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Siemens EDA (Siemens Digital Industries Software),consulting,Egypt,https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-eda-siemens-digital-industries-software-4416103967,"Qesm 2nd New Cairo, Cairo, Egypt",active
"Software engineer - Model Based Development, POWER","Join Valeo as a Software engineer - Model Based Development, POWER. This role requires relevant experience and skills in the field.",Competitive,full-time,Valeo,consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-model-based-development-power-at-valeo-4414670527,"Cairo, Egypt",active
Automation Developer,Join TP as a Automation Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,TP,consulting,Egypt,https://eg.linkedin.com/jobs/view/automation-developer-at-tp-4435550580,"Cairo, Egypt",active
React Native Mobile Developer,Join Rubikal as a React Native Mobile Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Rubikal,android-development,Egypt,https://eg.linkedin.com/jobs/view/react-native-mobile-developer-at-rubikal-4434279986,Egypt,active
Full-Stack Developer (OutSystems + High-Code),Join Simon-Kucher as a Full-Stack Developer (OutSystems + High-Code). This role requires relevant experience and skills in the field.,Competitive,full-time,Simon-Kucher,consulting,Egypt,https://eg.linkedin.com/jobs/view/full-stack-developer-outsystems-%2B-high-code-at-simon-kucher-4429795808,"Cairo, Egypt",active
Android Developer,Join Systems Limited as a Android Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Systems Limited,android-development,Egypt,https://eg.linkedin.com/jobs/view/android-developer-at-systems-limited-4436987848,"6th of October, Al Jizah, Egypt",active
Full Stack Developer,Join WOROOD as a Full Stack Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,WOROOD,web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-developer-at-worood-4430364623,"Cairo, Cairo, Egypt",active
Back End Developer,Join Magnet as a Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Magnet,consulting,Egypt,https://eg.linkedin.com/jobs/view/back-end-developer-at-magnet-4431380639,"Cairo, Egypt",active
Full-Stack Product Engineer,Join The Flex as a Full-Stack Product Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,The Flex,consulting,Egypt,https://eg.linkedin.com/jobs/view/full-stack-product-engineer-at-the-flex-4429177193,Egypt,active
Back End Developer,Join envnt. as a Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,envnt.,consulting,Egypt,https://eg.linkedin.com/jobs/view/back-end-developer-at-envnt-4397923223,"Cairo, Egypt",active
Backend Engineer,Join Payrails as a Backend Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Payrails,web-development,Egypt,https://eg.linkedin.com/jobs/view/backend-engineer-at-payrails-4410766595,"Cairo, Cairo, Egypt",active
Oracle Application Developer,Join GB Corp as a Oracle Application Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,GB Corp,consulting,Egypt,https://eg.linkedin.com/jobs/view/oracle-application-developer-at-gb-corp-4436991460,"6th of October, Al Jizah, Egypt",active
Full Stack Developer,Join Nawy as a Full Stack Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Nawy,web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-developer-at-nawy-4437782481,"Qesm El Maadi, Cairo, Egypt",active
Full Stack Engineer 2,Join noon as a Full Stack Engineer 2. This role requires relevant experience and skills in the field.,Competitive,full-time,noon,web-development,Egypt,https://eg.linkedin.com/jobs/view/full-stack-engineer-2-at-noon-4414594781,"New Cairo, Cairo, Egypt",active
Java Front End Developer,Join Network International as a Java Front End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Network International,consulting,Egypt,https://eg.linkedin.com/jobs/view/java-front-end-developer-at-network-international-4437420383,Egypt,active
Dynamics CRM Technical Developer,Join Accenture as a Dynamics CRM Technical Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Accenture,consulting,Egypt,https://eg.linkedin.com/jobs/view/dynamics-crm-technical-developer-at-accenture-4329792955,"Cairo, Cairo, Egypt",active
Mobile Application Developer,Join envnt. as a Mobile Application Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,envnt.,android-development,Egypt,https://eg.linkedin.com/jobs/view/mobile-application-developer-at-envnt-4410142951,"Cairo, Egypt",active
ERP Developer,Join e.construct Fz LLC as a ERP Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,e.construct Fz LLC,consulting,Egypt,https://eg.linkedin.com/jobs/view/erp-developer-at-e-construct-fz-llc-4373511308,"Cairo, Cairo, Egypt",active
Full-Stack Product Engineer,Join The Flex as a Full-Stack Product Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,The Flex,consulting,Egypt,https://eg.linkedin.com/jobs/view/full-stack-product-engineer-at-the-flex-4429171670,"Cairo, Cairo, Egypt",active
Developer with Disability (m/w/d),Join sonnen Egypt as a Developer with Disability (m/w/d). This role requires relevant experience and skills in the field.,Competitive,full-time,sonnen Egypt,consulting,Egypt,https://eg.linkedin.com/jobs/view/developer-with-disability-m-w-d-at-sonnen-egypt-4330137759,"Cairo, Cairo, Egypt",active
Software Engineer,Join Orange Business as a Software Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Orange Business,consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-at-orange-business-4426981794,"Cairo, Cairo, Egypt",active
10x Software Engineer,Join Lucidya | لوسيديا as a 10x Software Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,Lucidya | لوسيديا,consulting,Egypt,https://eg.linkedin.com/jobs/view/10x-software-engineer-at-lucidya-%D9%84%D9%88%D8%B3%D9%8A%D8%AF%D9%8A%D8%A7-4402255364,"Cairo, Cairo, Egypt",active
Salesforce Developer (m/w/d),Join sonnen Egypt as a Salesforce Developer (m/w/d). This role requires relevant experience and skills in the field.,Competitive,full-time,sonnen Egypt,lead-generation,Egypt,https://eg.linkedin.com/jobs/view/salesforce-developer-m-w-d-at-sonnen-egypt-4404750170,"Cairo, Cairo, Egypt",active
RPA Developer,Join Ontrac Solutions as a RPA Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Ontrac Solutions,consulting,Egypt,https://eg.linkedin.com/jobs/view/rpa-developer-at-ontrac-solutions-4374031949,"Cairo, Cairo, Egypt",active
Senior Fullstack Engineer,Join SAQAYA as a Senior Fullstack Engineer. This role requires relevant experience and skills in the field.,Competitive,full-time,SAQAYA,web-development,Egypt,https://eg.linkedin.com/jobs/view/senior-fullstack-engineer-at-saqaya-4432580510,Egypt,active
"Software Engineer II - QuantumBlack, AI by McKinsey","Join QuantumBlack, AI by McKinsey as a Software Engineer II - QuantumBlack, AI by McKinsey. This role requires relevant experience and skills in the field.",Competitive,full-time,"QuantumBlack, AI by McKinsey",consulting,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-ii-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4437424650,"Cairo, Cairo, Egypt",active
Software Engineer - Full Stack,Join Sumerge as a Software Engineer - Full Stack. This role requires relevant experience and skills in the field.,Competitive,full-time,Sumerge,web-development,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-full-stack-at-sumerge-4413525212,"Cairo, Cairo, Egypt",active
Software Engineer ll - Backend,Join talabat as a Software Engineer ll - Backend. This role requires relevant experience and skills in the field.,Competitive,full-time,talabat,web-development,Egypt,https://eg.linkedin.com/jobs/view/software-engineer-ll-backend-at-talabat-4425830101,"Cairo, Cairo, Egypt",active
Back End Developer,Join Fekra Technologies as a Back End Developer. This role requires relevant experience and skills in the field.,Competitive,full-time,Fekra Technologies,consulting,Egypt,https://eg.linkedin.com/jobs/view/back-end-developer-at-fekra-technologies-4435513530,Egypt,active
Fullstack Developer - AI Hub (Cairo or Amman),Join EY as a Fullstack Developer - AI Hub (Cairo or Amman). This role requires relevant experience and skills in the field.,Competitive,full-time,EY,web-development,Egypt,https://eg.linkedin.com/jobs/view/fullstack-developer-ai-hub-cairo-or-amman-at-ey-4388063421,"Cairo, Cairo, Egypt",active
Backend Engineer / C++,Join blnk as a Backend Engineer / C++. This role requires relevant experience and skills in the field.,Competitive,full-time,blnk,web-development,Egypt,https://eg.linkedin.com/jobs/view/backend-engineer-c%2B%2B-at-blnk-4352549798,"Giza, Al Jizah, Egypt",active
